Channel Link,Channel Name,Channel Icon,Affinity Index,Power of Influence,Views,Users,Age,Gender
https://www.youtube.com/channel/UCKcVeh3EsUT6Sa-MzAjw75w,كل ما هو مفيد وحصري,https://yt3.ggpht.com/uRCC0pfOzjztjcQLlSX_jItp_RBQ8cGgylMDiU9KQHZmB4vWcwx73zc839fGIgbN-oDbf52Aa6Q=s88-c-k-c0x00ffffff-no-rj,96,11,23000,13000,"25-34 : 28.6%
18-24 : 21.4%
35-44 : 28.6%
45-54 : 21.4%",Male : 100.0%
https://www.youtube.com/channel/UCCJU3msrLQ_l_dS4iJy3pXA,موجز الانباء,https://yt3.ggpht.com/_ZfGYd-OgFEOv8idY7a8x31qntiPF8tVn8mdD8tZiXQQFBILznwvE16Ec6uHXxjIiJ8jVhh-9Q=s88-c-k-c0x00ffffff-no-rj,80,8,32000,14000,"25-34 : 40.0%
55-64 : 28.0%
35-44 : 16.0%
45-54 : 16.0%","Female : 12.0%
Male : 88.0%"
https://www.youtube.com/channel/UCGAAaYL7OrUmK3Ju6F_R5CA,مسيو حسام,https://yt3.ggpht.com/ytc/AKedOLR1mriSFzvBnwenoFBYYOJk_NXysSKwg4DDOXgy=s88-c-k-c0x00ffffff-no-rj,65,8,33000,19000,"25-34 : 34.3%
18-24 : 25.7%
Unknown : 8.6%
35-44 : 14.3%
45-54 : 17.1%","Unknown : 8.6%
Female : 25.7%
Male : 65.7%"
https://www.youtube.com/channel/UCdOIvTbQRPClCMCKwbGjHlA,إلعب واحكي مع حسام,https://yt3.ggpht.com/ytc/AKedOLSolGI1HrKOANSooGI4oCdhV7r498YBrPUVO3gV=s88-c-k-c0x00ffffff-no-rj,86,7,18000,10000,25-34 : 100.0%,Male : 100.0%
https://www.youtube.com/channel/UCdU1djIojpa643LjcHjJmJA,نور شرف tv,https://yt3.ggpht.com/ytc/AKedOLT9dZ0WJdSU93lVhO1ql1CbFcjiLxbT8JqKI8WK=s88-c-k-c0x00ffffff-no-rj,67,7,55000,17000,"25-34 : 18.8%
18-24 : 14.5%
55-64 : 14.5%
35-44 : 26.1%
65+ : 5.8%
45-54 : 20.3%","Female : 71.0%
Male : 29.0%"
https://www.youtube.com/channel/UCrIXuJGnSi2BQ2CVE4NiMrw,درب كلبك بنفسك C- Sherif Shehata,https://yt3.ggpht.com/MztFOeI2Cnoi-dxVBzUlJo_Ox2IfZujpS_jhhL2pALky5lO1rnXQT-ljK1KYdM7AYGOteMK2=s88-c-k-c0x00ffffff-no-rj,70,7,52000,15000,"25-34 : 19.7%
18-24 : 49.2%
Unknown : 9.8%
35-44 : 14.8%
45-54 : 6.6%","Female : 4.9%
Male : 95.1%"
https://www.youtube.com/channel/UCRVsqvXIdgyPVS-a6fGa1lA,Earn Your Leisure,https://yt3.ggpht.com/OU8KJJvJlYJKhMOEDwDLfZUk7b7fkbcEf9LPM08zmO_Y5RBUnNcbOyUfechBlwsuB0WIrerQAg4=s88-c-k-c0x00ffffff-no-rj,55,6,44000,21000,"25-34 : 30.4%
18-24 : 44.9%
Unknown : 8.7%
35-44 : 15.9%","Female : 55.1%
Male : 44.9%"
https://www.youtube.com/channel/UCSTPH3s5vBdblQR7CP85GWw,مصطفى شاهين,https://yt3.ggpht.com/3vVgZ7c4i3ugEZCb4B6gG4GjYLafWpymcf0WKw38EaQL5-KAvQBlEGXbk8sKuPNYCtTvRVBi=s88-c-k-c0x00ffffff-no-rj,74,6,35000,11000,"25-34 : 16.7%
Unknown : 11.1%
55-64 : 19.4%
35-44 : 27.8%
65+ : 11.1%
45-54 : 13.9%","Unknown : 11.1%
Male : 88.9%"
https://www.youtube.com/channel/UCXLeBw_5Bl3Ufhe8UVtWIZQ,اسعار العملات,https://yt3.ggpht.com/ytc/AKedOLR89ipqS73HQH4rPjVubJ5cHsCtuRgBENFnhpOT=s88-c-k-c0x00ffffff-no-rj,77,6,27000,11000,"25-34 : 25.0%
55-64 : 25.0%
35-44 : 16.7%
65+ : 20.8%
45-54 : 12.5%",Male : 100.0%
https://www.youtube.com/channel/UCwdrdnwh9VndG806fDwiUQQ,عائلة محمد حسين,https://yt3.ggpht.com/6F_N4cwi3M1Pp42JNQ6c5LBF6B2aGowBDiTZHA3dIZD0m9dQeomgV_J3udsiS2JKbJVejAtLbQ=s88-c-k-c0x00ffffff-no-rj,74,6,17000,11000,Unknown : 100.0%,Unknown : 100.0%
