Channel Link,Channel Name,Channel Icon,Affinity Index,Power of Influence,Views,Users,Age,Gender
https://www.youtube.com/channel/UC-XhFbcgaHGeIGDhWssvQfw,اصل الحكاية,https://yt3.ggpht.com/ytc/AKedOLQdMryZG_4SPf4xj60wh29QO3pKuKEqROy3rBHQZw=s88-c-k-c0x00ffffff-no-rj,0,0,250,100,"25-34 : 19.3%
18-24 : 18.4%
Unknown : 1.8%
55-64 : 17.9%
35-44 : 16.1%
65+ : 10.8%
45-54 : 15.7%","Female : 48.9%
Male : 51.1%"
https://www.youtube.com/channel/UC-_T4KGimo6R9ukkJp_uH4Q,علي هادي علي,https://yt3.ggpht.com/3cc7i5qvV46wKyWhPuapS_Bkgyue7A-RJzjink96xED7Wb3crkXPbS6FJd8yq7VDrv6fyLdx9kQ=s88-c-k-c0x00ffffff-no-rj,5,0,300,250,,
https://www.youtube.com/channel/UC-aKFatPntzXOYKgnxKo2qw,🌸Keî uwu🌸,https://yt3.ggpht.com/Rv4CWmCV5P3xJtXFS1PTVKb4himjM4hQXSHDQlTtQ5--HbCv9AsRf8N2Lgp7PFP6E7B9yvx9nJM=s88-c-k-c0x00ffffff-no-rj,10,0,100,100,,
https://www.youtube.com/channel/UC-dF6QhG1rJsqsaZqEgfk5Q,يلا فن_Yla Fan,https://yt3.ggpht.com/ytc/AKedOLRIg8NYtdSRZmCxj0GxgwYNZ4q31GTl2cRiDmSLSA=s88-c-k-c0x00ffffff-no-rj,0,0,3000,1000,"25-34 : 28.7%
18-24 : 28.7%
Unknown : 6.9%
55-64 : 1.4%
35-44 : 26.5%
65+ : 1.8%
45-54 : 5.9%","Unknown : 1.0%
Female : 39.2%
Male : 59.9%"
https://www.youtube.com/channel/UC-foVXgLyWLtaxGQyVgSl9A,LEPAO FREE FIRE,https://yt3.ggpht.com/ytc/AKedOLTpP5AIrYQvOieISRG5qofhPmKJ5bohFEjjkV48=s88-c-k-c0x00ffffff-no-rj,4,0,1000,150,"18-24 : 38.5%
Unknown : 30.8%
35-44 : 30.8%",Male : 100.0%
https://www.youtube.com/channel/UC-o4Nbu_f9wtSXaeXdhIVLg,الأستاذ وليد محسن,https://yt3.ggpht.com/opxy13gz4nTPpQeGUEh-bC1mawNpHe9sQ5AWNVSXfP_yMnCul96HQd08p4ocIDcD1Fa-rbmxTxg=s88-c-k-c0x00ffffff-no-rj,0,0,100,100,"25-34 : 7.2%
18-24 : 59.5%
Unknown : 29.7%
45-54 : 3.6%","Female : 51.4%
Male : 48.6%"
https://www.youtube.com/channel/UC-sTG0R4O3tqCE-cwa34dAA,خير بلدنا,https://yt3.ggpht.com/ytc/AKedOLQmW2888UICQ0WW43QTdXOc-s_9jS0NxYobIqOc=s88-c-k-c0x00ffffff-no-rj,3,0,300,300,,
https://www.youtube.com/channel/UC-vuVdvNxSUrmt0gAseHxSg,قناه سوبر ليدى اللهلوبه om abdallah,https://yt3.ggpht.com/ytc/AKedOLQnojz3LcKtANaLlSCyGoEYU0wiORXGLibyn-UO=s88-c-k-c0x00ffffff-no-rj,2,0,5000,2000,"25-34 : 28.7%
18-24 : 23.5%
Unknown : 6.3%
55-64 : 7.8%
35-44 : 20.5%
65+ : 3.0%
45-54 : 10.1%","Female : 54.9%
Male : 45.1%"
https://www.youtube.com/channel/UC0-ube6oD81tPZL_Z_GFtCQ,Mohamed Samy - محمد سامى,https://yt3.ggpht.com/ytc/AKedOLTNPU-BRQSz1rlTUAF4evLlRiREctylIW7C-iI2XA=s88-c-k-c0x00ffffff-no-rj,4,0,1000,300,"25-34 : 30.0%
18-24 : 70.0%",Male : 100.0%
https://www.youtube.com/channel/UC00r_zcRLCiFq1K9viAp2_g,الدليل العسكري,https://yt3.ggpht.com/ytc/AKedOLQT7GvnR2bzx-CbARCfXENCifAMZJY-_fnMJ43p=s88-c-k-c0x00ffffff-no-rj,8,0,250,250,,
